numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
92,22,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,NegateConditionalsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforiterable,1105,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1105
90,22,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,ReturnValsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforiterable,1106,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1106
2,1,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,ReturnValsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforiterable,1108,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1108
2,1,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,NegateConditionalsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforenumeration,1139,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1139
4,1,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,MathMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforiterable,1123,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1123
6,1,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,NegateConditionalsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforiterable,1122,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1122
2,1,0,426,2,9,5,49,27,2912.37,0.08,4,3,0,7,1,2,2,12.5,1,0,0,0,1,232.99,20,5,29,1,5,1,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,ReturnValsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addallforiterable,1125,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addall,org.apache.commons.collections4.collectionutils.addall:1125
3,1,0,426,2,11,4,41,26,2620.97,0.06,3,2,0,6,2,2,2,13.6,0,0,0,0,1,192.72,17,4,24,1,5,0,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,NegateConditionalsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addignorenull,1087,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addignorenull,org.apache.commons.collections4.collectionutils.addignorenull:1087
3,1,0,426,2,11,4,41,26,2620.97,0.06,3,2,0,6,2,2,2,13.6,0,0,0,0,1,192.72,17,4,24,1,5,0,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,NegateConditionalsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addignorenull,1090,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addignorenull,org.apache.commons.collections4.collectionutils.addignorenull:1090
3,1,0,426,2,11,4,41,26,2620.97,0.06,3,2,0,6,2,2,2,13.6,0,0,0,0,1,192.72,17,4,24,1,5,0,64,0.98,2.89,474,7.35,435992.4,65,1,22,66,25,79.67,883,622,28.0,7,1,109.05,0.0,0.0,0.03,12,184.0,13,22035.38,0,60,19,java.lang.Object,0.0,2,0,185,0,2,4,0,76,4398,1,55,2102,1.62,32.76,1447895.64,21291,98275.45,91.64,6238,2883,6,776,1322,0.44,0.06,15,479,121.02,0.49,17,12,ReturnValsMutator,Z,yes,org.apache.commons.collections4.collectionutilstest.addignorenull,1090,org.apache.commons.collections4.collectionutils,org.apache.commons.collections4.collectionutils.addignorenull,org.apache.commons.collections4.collectionutils.addignorenull:1090
