numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
268,59,1,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,MathMutator,method,yes,org.apache.commons.text.strbuildertest.testaswriter,900,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:900
2,2,4,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,ReturnValsMutator,method,yes,org.apache.commons.text.strbuilderappendinserttest.testappendln_primitivenumber,941,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:941
2,2,4,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,ReturnValsMutator,method,yes,org.apache.commons.text.strbuilderappendinserttest.testappendln_primitivenumber,931,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:931
2,2,4,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,ReturnValsMutator,method,yes,org.apache.commons.text.strbuilderappendinserttest.testappendln_primitivenumber,911,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:911
2,2,4,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,ReturnValsMutator,method,yes,org.apache.commons.text.strbuilderappendinserttest.testappendln_primitivenumber,921,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:921
60,16,3,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,NegateConditionalsMutator,method,yes,org.apache.commons.text.strbuilderappendinserttest.testappendall_collection,519,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:519
60,16,3,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,NegateConditionalsMutator,method,yes,org.apache.commons.text.strbuildertest.testasbuilder,522,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:522
60,16,3,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,NegateConditionalsMutator,method,yes,org.apache.commons.text.strbuildertest.testasbuilder,525,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:525
60,16,3,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,NegateConditionalsMutator,method,yes,org.apache.commons.text.strbuildertest.testasbuilder,528,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:528
60,16,3,868,5,9,13,102,35,10870.66,0.17,2,3,3,18,1,3,1,20.78,1,0,0,0,4,523.19,44,19,58,1,21,0,149,0.0,2.41,988,10.8,550606.12,155,6,8,149,23,63.68,1434,1293,16.0,21,1,113.68,0.0,0.0,0.16,22,667.0,8,32406.17,1,141,3,java.lang.Object,0.0,0,0,359,0,0,8,1,220,6823,1,65,6737,1.72,87.82,4805429.97,52695,263447.16,75.17,5193,8794,10,1363,1122,0.67,0.26,1,791,107.39,0.08,25,2,NegateConditionalsMutator,method,yes,org.apache.commons.text.strbuildertest.testasbuilder,531,org.apache.commons.text.strbuilder,org.apache.commons.text.strbuilder.append,org.apache.commons.text.strbuilder.append:531
