numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
21,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ReturnValsMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,417,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:417
40,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ConditionalsBoundaryMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,383,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:383
36,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ConditionalsBoundaryMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,385,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:385
34,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ConditionalsBoundaryMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,387,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:387
32,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ConditionalsBoundaryMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,389,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:389
22,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ConditionalsBoundaryMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,391,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:391
16,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,ConditionalsBoundaryMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,393,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:393
40,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,NegateConditionalsMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,383,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:383
36,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,NegateConditionalsMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,385,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:385
34,2,20,490,1,15,2,18,14,365.51,0.02,2,1,1,3,2,1,2,5.33,0,0,0,0,0,68.53,8,1,10,0,2,0,117,0.06,2.62,805,11.23,536197.21,133,16,32,120,22,92.78,1707,1188,23.0,9,1,112.92,0.0,0.0,0.0,51,462.0,10,33697.2,0,59,13,java.lang.Object,0.0,3,0,306,0,3,58,0,191,6748,1,25,2759,2.1,34.54,1878775.06,21342,103608.42,112.77,7121,4005,12,929,805,0.3,0.66,7,443,113.24,0.04,21,3,NegateConditionalsMutator,method,yes,org.apache.commons.io.fileutilstestcase.testbytecounttodisplaysizebiginteger,387,org.apache.commons.io.fileutils,org.apache.commons.io.fileutils.bytecounttodisplaysize,org.apache.commons.io.fileutils.bytecounttodisplaysize:387
