numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
4,1,0,0,3,0,6,55,28,2635.23,0.09,4,4,2,10,0,2,2,9.97,0,0,0,0,3,264.4,23,8,32,1,5,0,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,NegateConditionalsMutator,method,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,36,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.decompose,org.la4j.decomposition.eigendecompositor.decompose:36
4,1,0,0,3,0,6,55,28,2635.23,0.09,4,4,2,10,0,2,2,9.97,0,0,0,0,3,264.4,23,8,32,1,5,0,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,ReturnValsMutator,method,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,37,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.decompose,org.la4j.decomposition.eigendecompositor.decompose:37
8,1,0,0,3,0,17,165,51,21441.77,0.31,5,11,4,20,0,2,1,22.91,7,0,0,0,2,935.95,84,39,81,1,30,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,NegateConditionalsMutator,method,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,71,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.decomposesymmetricmatrix,org.la4j.decomposition.eigendecompositor.decomposesymmetricmatrix:71
4,1,0,0,3,0,17,165,51,21441.77,0.31,5,11,4,20,0,2,1,22.91,7,0,0,0,2,935.95,84,39,81,1,30,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,NegateConditionalsMutator,method,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,73,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.decomposesymmetricmatrix,org.la4j.decomposition.eigendecompositor.decomposesymmetricmatrix:73
4,1,0,0,3,0,17,165,51,21441.77,0.31,5,11,4,20,0,2,1,22.91,7,0,0,0,2,935.95,84,39,81,1,30,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,ReturnValsMutator,method,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,77,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.decomposesymmetricmatrix,org.la4j.decomposition.eigendecompositor.decomposesymmetricmatrix:77
64,1,0,0,3,0,9,70,29,7115.07,0.11,2,3,0,11,0,2,1,20.92,2,0,0,0,2,340.06,34,13,36,2,14,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,ConditionalsBoundaryMutator,I,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,83,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.findmax,org.la4j.decomposition.eigendecompositor.findmax:83
80,1,0,0,3,0,9,70,29,7115.07,0.11,2,3,0,11,0,2,1,20.92,2,0,0,0,2,340.06,34,13,36,2,14,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,ConditionalsBoundaryMutator,I,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,85,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.findmax,org.la4j.decomposition.eigendecompositor.findmax:85
64,1,0,0,3,0,9,70,29,7115.07,0.11,2,3,0,11,0,2,1,20.92,2,0,0,0,2,340.06,34,13,36,2,14,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,IncrementsMutator,I,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,83,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.findmax,org.la4j.decomposition.eigendecompositor.findmax:83
16,1,0,0,3,0,9,70,29,7115.07,0.11,2,3,0,11,0,2,1,20.92,2,0,0,0,2,340.06,34,13,36,2,14,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,NegateConditionalsMutator,I,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,82,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.findmax,org.la4j.decomposition.eigendecompositor.findmax:82
48,1,0,0,3,0,9,70,29,7115.07,0.11,2,3,0,11,0,2,1,20.92,2,0,0,0,2,340.06,34,13,36,2,14,1,10,1.0,10.9,521,9.46,8326439.31,11,1,4,10,5,60.05,49,549,48.0,1,1,59.82,0.0,0.0,0.1,9,18.0,68,28371.89,0,8,5,java.lang.Object,0.0,0,0,109,0,0,2,1,56,4609,1,6,1136,13.39,19.48,16131603.7,9333,58433.51,7.93,181,1144,101,241,70,0.67,0.17,2,18,56.41,0.17,75,4,NegateConditionalsMutator,I,yes,org.la4j.decomposition.eigendecompositortest.testdecompose,84,org.la4j.decomposition.eigendecompositor,org.la4j.decomposition.eigendecompositor.findmax,org.la4j.decomposition.eigendecompositor.findmax:84
