numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
93,18,0,0,2,0,4,30,18,1376.08,0.04,3,1,0,6,0,2,1,11.0,0,0,0,0,1,125.1,14,3,16,1,2,0,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,NegateConditionalsMutator,method,yes,net.hydromatic.linq4j.test.optimizertest.booleanvalueoftrue,3077,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.accept,net.hydromatic.linq4j.expressions.expressions.accept:3077
66,14,0,0,2,0,4,30,18,1376.08,0.04,3,1,0,6,0,2,1,11.0,0,0,0,0,1,125.1,14,3,16,1,2,0,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.optimizertest.booleanvalueoftrue,3078,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.accept,net.hydromatic.linq4j.expressions.expressions.accept:3078
27,8,0,0,2,0,4,30,18,1376.08,0.04,3,1,0,6,0,2,1,11.0,0,0,0,0,1,125.1,14,3,16,1,2,0,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.expressiontest.testfor,3080,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.accept,net.hydromatic.linq4j.expressions.expressions.accept:3080
4,2,0,0,3,0,10,63,29,5085.19,0.1,4,4,0,12,1,2,1,16.62,1,0,0,0,2,306.05,27,8,36,1,7,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.expressiontest.testfor2,3144,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptdeclarations,net.hydromatic.linq4j.expressions.expressions.acceptdeclarations:3144
158,26,0,0,3,0,10,59,26,4044.34,0.09,4,4,0,11,1,2,1,14.58,1,0,0,0,2,277.33,25,7,34,1,5,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,NegateConditionalsMutator,method,yes,net.hydromatic.linq4j.test.expressiontest.testblockbuilder3,3162,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptexpressions,net.hydromatic.linq4j.expressions.expressions.acceptexpressions:3162
85,20,0,0,3,0,10,59,26,4044.34,0.09,4,4,0,11,1,2,1,14.58,1,0,0,0,2,277.33,25,7,34,1,5,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.expressiontest.testclassdecl,3163,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptexpressions,net.hydromatic.linq4j.expressions.expressions.acceptexpressions:3163
73,17,0,0,3,0,10,59,26,4044.34,0.09,4,4,0,11,1,2,1,14.58,1,0,0,0,2,277.33,25,7,34,1,5,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.optimizertest.booleanvalueoftrue,3169,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptexpressions,net.hydromatic.linq4j.expressions.expressions.acceptexpressions:3169
44,17,0,0,3,0,10,63,29,5085.19,0.1,4,4,0,12,1,2,1,16.62,1,0,0,0,2,306.05,27,8,36,1,7,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,NegateConditionalsMutator,method,yes,net.hydromatic.linq4j.test.deterministictest.testfactoroutbinaryadd,3149,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptmemberdeclarations,net.hydromatic.linq4j.expressions.expressions.acceptmemberdeclarations:3149
8,2,0,0,3,0,10,63,29,5085.19,0.1,4,4,0,12,1,2,1,16.62,1,0,0,0,2,306.05,27,8,36,1,7,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.deterministictest.testnewbiginteger,3150,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptmemberdeclarations,net.hydromatic.linq4j.expressions.expressions.acceptmemberdeclarations:3150
36,16,0,0,3,0,10,63,29,5085.19,0.1,4,4,0,12,1,2,1,16.62,1,0,0,0,2,306.05,27,8,36,1,7,1,324,0.0,1.19,865,11.31,288388.94,324,0,6,324,63,136.74,1299,1520,16.0,16,1,136.51,0.0,0.0,0.0,28,324.0,8,33917.06,0,321,58,java.lang.Object,0.0,0,0,385,0,0,3,0,340,7947,2,90,4631,1.73,56.26,2611811.99,35593,168774.46,117.53,3889,6945,12,1457,764,0.6,0.19,2,840,117.3,0.21,19,3,ReturnValsMutator,method,yes,net.hydromatic.linq4j.test.deterministictest.testinstanceoftest,3157,net.hydromatic.linq4j.expressions.expressions,net.hydromatic.linq4j.expressions.expressions.acceptmemberdeclarations,net.hydromatic.linq4j.expressions.expressions.acceptmemberdeclarations:3157
