numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
1302934,796,0,0,2,0,5,30,18,1016.42,0.04,1,1,0,7,0,0,1,8.12,1,1,0,0,1,125.1,13,7,17,1,5,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,NegateConditionalsMutator,B,yes,org.msgpack.testpackunpack.testnil,64,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.getheadbyte,org.msgpack.unpacker.messagepackunpacker.getheadbyte:64
1203436,796,0,0,2,0,5,30,18,1016.42,0.04,1,1,0,7,0,0,1,8.12,1,1,0,0,1,125.1,13,7,17,1,5,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,B,yes,org.msgpack.testpackunpack.testnil,67,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.getheadbyte,org.msgpack.unpacker.messagepackunpacker.getheadbyte:67
69474,577,2,0,1,0,2,13,11,196.76,0.01,0,1,0,3,0,0,2,4.38,0,0,0,0,0,44.97,5,1,8,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,I,yes,org.msgpack.testpackunpack.testnil,595,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.getreadbytecount,org.msgpack.unpacker.messagepackunpacker.getreadbytecount:595
2072,461,0,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,I,yes,org.msgpack.template.testbooleanarraytemplate.testpackunpack00,478,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readarraybegin,org.msgpack.unpacker.messagepackunpacker.readarraybegin:478
2080,461,0,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,I,yes,org.msgpack.template.testbooleanarraytemplate.testpackunpack00,477,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readarraybegin,org.msgpack.unpacker.messagepackunpacker.readarraybegin:477
2072,461,0,0,5,0,13,71,34,4495.06,0.12,2,4,1,17,0,1,2,12.44,2,1,0,0,4,361.21,28,8,43,2,11,1,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,NegateConditionalsMutator,V,yes,org.msgpack.template.testbooleanarraytemplate.testpackunpack00,483,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readarrayend,org.msgpack.unpacker.messagepackunpacker.readarrayend:483
2072,461,0,0,5,0,13,71,34,4495.06,0.12,2,4,1,17,0,1,2,12.44,2,1,0,0,4,361.21,28,8,43,2,11,1,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,V,yes,org.msgpack.testsimplepackable.testsample01,498,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readarrayend,org.msgpack.unpacker.messagepackunpacker.readarrayend:498
11122,45,2,0,1,0,3,18,15,321.48,0.02,2,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,method,yes,org.msgpack.template.testbigintegertemplate.testpackunpack,448,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbiginteger,org.msgpack.unpacker.messagepackunpacker.readbiginteger:448
11122,45,2,0,1,0,3,18,15,321.48,0.02,2,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,method,yes,org.msgpack.template.testbigintegertemplate.testpackunpack,447,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbiginteger,org.msgpack.unpacker.messagepackunpacker.readbiginteger:447
1370,90,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,MathMutator,Z,yes,org.msgpack.testbufferpackunpack.testboolean,393,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:393
