isKilled,status,numberOfTestsRun,sourceFile,mutatedClass,mutatedMethod,methodDescription,lineNumber,mutator,killingTest,description
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getFunction,Lnet/objecthunter/exp4j/function/Function;,186,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization12,negated conditional
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getFunction,Lnet/objecthunter/exp4j/function/Function;,189,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization12,negated conditional
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getFunction,Lnet/objecthunter/exp4j/function/Function;,192,ReturnValsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization12,mutated return of Object value for net/objecthunter/exp4j/tokenizer/Tokenizer::getFunction to ( if (x != null) null else throw new RuntimeException )
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,223,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,negated conditional
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,226,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,negated conditional
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,226,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,negated conditional
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,228,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,negated conditional
KILLED,true,2,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,232,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization11,negated conditional
KILLED,true,2,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,232,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization11,negated conditional
KILLED,true,1,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,234,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization7,negated conditional
KILLED,true,2,Tokenizer.java,net.objecthunter.exp4j.tokenizer.Tokenizer,getOperator,Lnet/objecthunter/exp4j/operator/Operator;,236,NegateConditionalsMutator,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization10,negated conditional
