pkgName,className,mdName,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT
net.objecthunter.exp4j,ArrayStack,ArrayStack,1,0,2,7,6,27.14,0.01,0,0,1,3,0,0,0,1.50,0,0,0,0,0,18.09,3,0,4,0,1,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ArrayStack,ArrayStack,2,0,5,29,20,752.02,0.04,1,1,0,8,0,1,0,6.00,0,0,0,0,1,125.34,12,4,17,1,6,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ArrayStack,isEmpty,1,0,2,10,10,99.66,0.01,0,0,0,3,0,0,0,3.00,0,0,0,0,0,33.22,4,1,6,0,2,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ArrayStack,peek,2,0,4,21,16,490.00,0.03,1,1,0,6,0,0,0,5.83,0,0,0,0,1,84.00,7,3,14,1,4,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ArrayStack,pop,2,0,4,22,17,513.85,0.03,1,1,0,6,0,0,0,5.71,0,0,0,0,1,89.92,8,3,14,1,5,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ArrayStack,push,2,0,6,57,26,3329.93,0.09,1,1,0,8,0,1,0,12.43,1,0,0,1,1,267.93,29,14,28,1,12,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ArrayStack,size,1,0,2,9,9,71.32,0.01,0,0,0,3,0,0,0,2.50,0,0,0,0,0,28.53,4,1,5,0,1,0,7,0.25,1.57,28,0.22,5324.42,9,2,1,7,1,125.75,5,41,3.00,1,1,125.75,0.00,0.00,0.71,0,0.00,2,674.03,1,4,0,java.lang.Object,0.00,0,0,11,0,0,3,0,1,164,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression$Callable_Double_,call,1,0,2,13,12,163.12,0.02,2,0,1,3,0,0,2,3.50,0,1,0,0,0,46.60,5,0,8,0,1,0,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,Expression,1,5,5,60,24,2750.98,0.09,4,4,0,6,1,1,1,10.00,0,0,0,0,0,275.10,28,13,32,0,8,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,Expression,1,0,4,32,19,856.38,0.05,3,0,1,5,0,1,0,6.30,0,0,0,0,0,135.93,14,5,18,0,4,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
