System,Package,Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"","org.joda.time.convert","AbstractConverter",9,0.00,1.00,20,0.20,2550.17,9,0,7,9,18,91.98,95,31,12.00,10,1,140.46,10.00,0.00,0.00,2,9.00,1,594.57,1,8,8,java.lang.Object,0.00,0,0,9,10,0,1,1,16,156,2
"","org.joda.time.base","AbstractDateTime",25,0.00,1.16,65,0.65,8578.72,25,0,8,25,7,97.48,195,98,13.00,2,2,139.77,2.00,0.17,0.00,1,25.00,2,1936.45,5,24,5,org.joda.time.base.AbstractInstant,0.04,0,1,29,4,0,1,1,31,509,2
"","org.joda.time.base","AbstractDuration",10,0.00,1.90,50,0.51,18304.37,10,0,6,10,8,74.96,113,72,7.00,3,1,119.09,4.00,0.00,0.00,1,10.00,3,1539.77,1,9,5,java.lang.Object,0.00,0,0,19,4,0,1,1,17,340,2
"","org.joda.time.base","AbstractInstant",29,0.00,1.31,87,0.79,14873.00,29,0,15,29,24,83.69,243,132,14.00,12,1,131.80,10.00,0.00,0.00,5,29.00,4,2384.32,2,28,13,java.lang.Object,0.00,0,0,38,10,0,1,1,46,614,2
"","org.joda.time.base","AbstractInterval",27,0.00,1.41,103,1.04,26371.22,27,0,12,27,19,85.45,302,149,17.00,7,1,129.58,6.00,0.00,0.00,7,27.00,3,3123.74,3,25,12,java.lang.Object,0.00,0,0,38,6,0,2,1,37,756,2
"","org.joda.time.base","AbstractPartial",21,0.00,2.24,128,1.18,49235.10,21,0,10,21,15,66.77,216,149,17.00,5,1,115.25,14.00,0.00,0.00,6,21.00,8,3540.50,3,20,10,java.lang.Object,0.00,0,0,47,14,0,1,1,31,794,2
"","org.joda.time.field","AbstractPartialFieldProperty",24,0.00,1.33,71,0.63,16016.21,24,0,6,24,20,89.36,206,104,15.00,14,1,137.46,7.00,0.00,0.00,7,24.00,4,1884.68,0,23,6,java.lang.Object,0.00,0,0,32,7,0,1,0,34,478,2
"","org.joda.time.base","AbstractPeriod",14,0.00,1.71,66,0.55,19206.71,14,0,7,14,7,73.71,126,80,11.00,1,1,123.71,5.00,0.00,0.00,4,14.00,6,1648.69,2,13,6,java.lang.Object,0.00,0,0,24,5,0,1,1,21,393,2
"","org.joda.time.field","AbstractReadableInstantFieldProperty",32,1.00,1.31,93,0.84,18785.16,33,1,10,32,18,89.80,271,139,17.00,9,1,137.91,6.00,0.00,0.00,8,32.00,4,2528.04,0,31,9,java.lang.Object,0.00,0,0,42,6,0,1,1,42,649,2
"","org.joda.example.time","AgeCalculator",8,0.10,1.62,85,1.49,47200.57,20,12,28,8,6,103.89,7,115,24.00,1,2,103.89,0.00,0.50,0.17,5,16.00,4,4480.55,8,2,5,javax.swing.JFrame,0.00,0,1,13,0,0,6,0,1,817,1
"","org.joda.example.time","AgeCalculator$ActionListener",1,0.00,1.00,3,0.01,63.40,1,0,28,1,0,139.01,0,5,1.00,0,1,139.01,0.00,0.00,0.00,0,1.00,1,31.70,1,0,0,java.lang.Object,0.00,0,0,1,0,0,1,0,0,10,1
"","org.joda.example.time","AgeCalculator$ActionListener_0",1,0.00,1.00,5,0.05,474.18,1,0,28,1,2,123.85,0,7,8.00,0,1,123.85,0.00,0.00,0.00,0,0.00,1,138.30,1,0,2,java.lang.Object,0.00,0,0,1,0,0,1,0,0,32,1
"","org.joda.example.time","AgeCalculator$DocumentListener",4,0.00,1.00,10,0.06,445.23,4,0,28,4,0,143.65,0,15,3.00,0,1,143.65,0.00,0.00,0.00,1,6.00,1,169.33,1,0,0,java.lang.Object,0.00,0,0,4,0,0,4,0,0,50,1
"","org.joda.example.time","AgeCalculator$FieldGroup",3,0.67,2.00,48,0.41,12433.11,6,3,28,3,1,97.44,2,54,6.00,0,1,97.44,0.00,0.00,0.78,0,0.00,4,1235.09,0,1,1,java.lang.Object,0.00,0,0,6,0,0,2,0,2,236,1
